op,opcode,r1,r2,r3,
ȡָ,'0000000,xxx,xxx,xxx,
SLLV,'0001000,r1,r2,r3,
SLLVD,'0001011,r1,xxx,xxx,
SRLV,'0001100,r1,r2,r3,
SRLVD,'0001111,r1,xxx,xxx,
SLTU,'0010000,r1,r2,r3,
ADDU,'0010011,r1,r2,r3,
SUBU,'0010110,r1,r2,r3,
AND,'0011001,r1,r2,r3,
OR,'0011100,r1,r2,r3,
XOR,'0011111,r1,r2,r3,
NXOR,'0100010,r1,r2,r3,
JZ,'0100101,r1,r2,xxx,
LD,'0101001,r1,r2,xxx,
STR,'0101100,r1,r2,xxx,
MUL,'0101111,r1,r2,r3,
DIV,'0110010,r1,r2,r3,
MOV,'0110101,r1,r2,xxx,
HALT,'0110110,xxx,xxx,xxx,
NOP,'0110111,xxx,xxx,xxx,
